player_id,first_name,last_name,birthdate,birth_country,birth_state,height_feet,height_inches,weight,team,primary_position,throws,bats
592454,Thomas,Kahnle,1989-08-07,USA,"NY   ",6,1,230,DET,RHR,R,R
592518,Manuel,Machado,1992-07-06,USA,"FL   ",6,2,218,SD,3B,R,R
592663,Jacob,Realmuto,1991-03-18,USA,"OK   ",6,0,212,PHI,C,R,R
592791,Jameson,Taillon,1991-11-18,USA,"FL   ",6,5,230,CHI,RHS,R,R
592836,Taijuan,Walker,1992-08-13,USA,"LA   ",6,4,235,PHI,RHS,R,R
592885,Christian,Yelich,1991-12-05,USA,"CA   ",6,3,203,MIL,RF,R,L
593428,Xander,Bogaerts,1992-10-01,Aruba,NULL,6,2,218,SD,SS,R,R
593871,Jorge,Polanco,1993-07-05,Dominican Republic,NULL,6,0,208,NY,2B,R,S
593974,Wandy,Peralta,1991-07-27,Dominican Republic,NULL,6,0,227,SD,LHR,L,L
595014,Blake,Treinen,1988-06-30,USA,"KS   ",6,5,225,LAD,RHR,R,R
595879,Ednel,Baez,1992-12-01,Puerto Rico,NULL,5,11,190,DET,SS,R,R
595978,Austin,Hedges,1992-08-18,USA,"CA   ",6,0,220,CLE,C,R,R
596001,Jakob,Junis,1992-09-16,USA,"AR   ",6,3,238,TEX,RHR,R,R
596115,Trevor,Story,1992-11-15,USA,"TX   ",6,1,209,BOS,SS,R,R
596133,Luke,Weaver,1993-08-21,USA,"FL   ",6,2,180,NY,RHR,R,R
596146,Maximilian,Kepler,1993-02-10,Germany,NULL,6,4,225,PHI,RF,L,L
601713,Nicholas,Pivetta,1993-02-14,Canada,"BC   ",6,5,210,SD,RHR,R,R
605130,Scott,Barlow,1992-12-18,USA,"CT   ",6,3,210,CIN,RHR,R,R
605135,Christopher,Bassitt,1989-02-22,USA,"OH   ",6,5,217,TOR,RHS,R,R
605141,Markus,Betts,1992-10-07,USA,"TN   ",5,10,180,LA,SS,R,R
605400,Aaron,Nola,1993-06-04,USA,"LA   ",6,2,200,PHI,RHS,R,R
605483,Blake,Snell,1992-12-04,USA,"WA   ",6,4,225,LAD,LHS,L,L
606160,Rafael,Montero,1990-10-17,Dominican Republic,NULL,6,0,193,DET,RHR,R,R
606192,Teoscar,Hernandez,1992-10-15,Dominican Republic,NULL,6,0,215,LAD,RF,R,R
607067,Colin,Rea,1990-07-01,USA,"IA   ",6,5,220,CHI,RHS,R,R
607074,Carlos,Rodon,1992-12-10,USA,"FL   ",6,2,255,NYY,LHS,L,L
607192,Tyler,Glasnow,1993-08-23,USA,"CA   ",6,8,225,LAD,RHS,R,L
607208,Trea,Turner,1993-06-30,USA,"FL   ",6,1,185,PHI,SS,R,R
607259,Nicholas,Martinez,1990-08-05,USA,"FL   ",6,1,200,CIN,RHS,R,L
607455,Frank,Banda,1993-08-10,USA,"TX   ",6,2,221,LAD,LHR,L,L
608070,Jose,Ramirez,1992-09-17,Dominican Republic,NULL,5,8,190,CLE,3B,R,S
608324,Alexander,Bregman,1994-03-30,USA,"NM   ",5,11,190,CHI,3B,R,R
608331,Max,Fried,1994-01-18,USA,"CA   ",6,4,190,NYY,LHS,L,L
608348,Carson,Kelly,1994-07-14,USA,"IL   ",6,1,212,CHI,C,R,R
608701,Robert,Refsnyder,1991-03-26,Republic of Korea,NULL,6,0,215,SEA,CF,R,R
608718,Brent,Suter,1989-08-29,USA,"IL   ",6,4,213,CIN,LHR,L,L
609280,Miguel,Andujar,1995-03-02,Dominican Republic,NULL,6,0,211,CIN,LF,R,R
621020,James,Swanson,1994-02-11,USA,"GA   ",6,0,190,CHI,SS,R,R
621112,Paul,Blackburn,1993-12-04,USA,"CA   ",6,1,196,NYY,RHR,R,R
621381,Matthew,Strahm,1991-11-12,USA,"ND   ",6,2,190,KC,LHR,L,R
621383,Tanner,Banks,1991-10-24,USA,"UT   ",6,1,205,PHI,LHR,L,R
622491,Luis,Castillo,1992-12-12,Dominican Republic,"-1   ",6,2,200,SEA,RHS,R,R
622554,Seranthony,Dominguez,1994-11-25,Dominican Republic,NULL,6,1,225,TOR,RHR,R,R
623168,Tyler,Heineman,1991-06-19,USA,"CA   ",5,10,190,TOR,C,R,S
623993,Anthony,Santander,1994-10-19,Venezuela,NULL,6,0,230,TOR,RF,R,S
624133,Ranger,Suarez,1995-08-26,Venezuela,NULL,6,1,217,BOS,LHR,L,L
624641,Edmundo,Sosa,1996-03-06,Panama,NULL,6,0,210,PHI,SS,R,R
628451,Andy,Ibanez,1993-04-03,Cuba,NULL,5,10,205,LAD,3B,R,R
630105,Jacob,Cronenworth,1994-01-21,USA,"MI   ",6,0,187,SD,SS,R,L
640448,Kyle,Finnegan,1991-09-04,USA,"MI   ",6,2,198,DET,RHR,R,R
641343,Jakob,Bauers,1995-10-06,USA,"CA   ",6,0,203,MIL,1B,L,L
641355,Cody,Bellinger,1995-07-13,USA,"AZ   ",6,3,204,NYY,CF,L,L
641487,John,Crawford,1995-01-11,USA,"CA   ",6,0,202,SEA,SS,R,L
641598,Mitchell,Garver,1991-01-15,USA,"NM   ",6,1,220,SEA,C,R,R
641745,Brad,Keller,1995-07-27,USA,"GA   ",6,5,255,PHI,RHS,R,R
641778,Eric,Lauer,1995-06-03,USA,"OH   ",6,3,209,TOR,LHS,L,R
641793,Zack,Littell,1995-10-05,USA,"NC   ",6,4,250,CIN,RHR,R,R
641857,Ryan,McMahon,1994-12-14,USA,"CA   ",6,2,219,NYY,2B,R,L
642100,Gabriel,Speier,1995-04-12,USA,"CA   ",5,11,200,SEA,LHR,L,L
642207,Devin,Williams,1994-09-21,USA,"MO   ",6,2,193,NY,RHR,R,R
642547,Freddy,Peralta,1996-06-04,Dominican Republic,NULL,6,0,198,NY,RHS,R,R
642708,German,Rosario,1995-11-20,Dominican Republic,NULL,6,2,190,NYY,SS,R,R
643396,Isiah,Kiner-Falefa,1995-03-23,USA,"HI   ",5,10,195,TOR,SS,R,R
645302,Victor,Robles,1997-05-19,Dominican Republic,NULL,6,0,193,SEA,CF,R,R
647304,Joshua-Douglas,Naylor,1997-06-22,Canada,"ON   ",5,10,235,SEA,RF,L,L
647336,Michael,Soroka,1997-08-04,Canada,"AB   ",6,5,250,ARI,RHS,R,R
650333,Luis,Arraez,1997-04-09,Venezuela,NULL,5,10,175,SD,1B,R,L
650402,Gleyber,Torres,1996-12-13,Venezuela,NULL,5,11,205,DET,2B,R,R
650633,Michael,King,1995-05-25,USA,"NY   ",6,3,210,SD,RHR,R,R
650644,Aaron,Civale,1995-06-12,USA,"CT   ",6,1,245,CHI,RHS,R,R
650911,Cristopher,Sanchez,1996-12-12,Dominican Republic,NULL,6,6,200,PHI,LHS,L,L
655316,Andruw,Monasterio,1997-05-30,Venezuela,NULL,5,11,195,MIL,IF,R,R
656302,Dylan,Cease,1995-12-28,USA,"GA   ",6,2,200,TOR,RHS,R,R
656427,Jack,Flaherty,1995-10-15,USA,"CA   ",6,4,225,DET,RHS,R,R
656546,Jeffrey,Hoffman,1993-01-08,USA,"NY   ",6,5,235,TOR,RHR,R,R
656716,Zachary,McKinstry,1995-04-29,USA,"OH   ",6,0,180,DET,2B,R,L
656730,Trevor,Megill,1993-12-05,USA,"CA   ",6,8,249,MIL,RHR,R,L
656811,Ryan,O'Hearn,1993-07-26,USA,"FL   ",6,2,220,PIT,1B,L,L
656941,Kyle,Schwarber,1993-03-05,USA,"OH   ",5,11,229,PHI,LF,R,L
657571,Caleb,Ferguson,1996-07-02,USA,"OH   ",6,3,225,CIN,LHR,L,R
657612,Timothy,Hill,1990-02-10,USA,"CA   ",6,4,210,NYY,LHR,L,R
657649,Jared,Koenig,1994-01-24,USA,"CA   ",6,5,248,MIL,LHR,L,R
657757,Gavin,Sheets,1996-04-23,USA,"MD   ",6,3,235,SD,1B,L,L
660271,Shohei,Ohtani,1994-07-05,Japan,NULL,6,3,210,LAD,RHS,R,L
660825,Eduard,Bazardo,1995-09-01,Venezuela,NULL,6,0,190,SEA,RHR,R,R
660844,Leonardo,Rivas,1997-10-10,Venezuela,NULL,5,8,150,SEA,SS,R,S
661388,William,Contreras,1997-12-24,Venezuela,NULL,5,10,218,MIL,C,R,R
661395,Jhoan,Duran,1998-01-08,Dominican Republic,NULL,6,5,230,PHI,RHS,R,R
661563,Luis,Gil,1998-06-03,Dominican Republic,NULL,6,2,185,NYY,RHS,R,R
662139,Daulton,Varsho,1996-07-02,USA,"WI   ",5,8,207,TOR,LF,R,L
662253,Andres,Munoz,1999-01-16,Mexico,"SI   ",6,2,222,SEA,RHR,R,R
663158,Robert,Suarez,1991-03-01,Venezuela,NULL,6,2,210,ATL,RHR,R,R
663330,Jahmai,Jones,1997-08-04,USA,"GA   ",5,10,210,DET,2B,R,R
663368,Blake,Perkins,1996-09-10,USA,"AZ   ",6,0,187,MIL,CF,R,S
663538,Nicholas,Hoerner,1997-05-13,USA,"CA   ",5,11,200,CHI,SS,R,R
663554,Casey,Mize,1997-05-01,USA,"AL   ",6,3,212,DET,RHS,R,R
663574,Antonio,Santillan,1997-04-15,USA,"TX   ",6,3,285,CIN,RHS,R,R
663604,Brandon,Lockridge,1997-03-14,USA,"FL   ",5,11,185,MIL,CF,R,R
663647,Ke'Bryan,Hayes,1997-01-28,USA,"TX   ",5,11,215,CIN,3B,R,R
663656,Kyle,Tucker,1997-01-17,USA,"FL   ",6,4,212,LAD,LF,R,L
663728,Caleb,Raleigh,1996-11-26,USA,"VA   ",6,2,235,SEA,C,R,S
663757,Trenton,Grisham,1996-11-01,USA,"TX   ",5,10,221,NYY,CF,L,L
663853,Roman,Gonzalez,1996-09-06,USA,"FL   ",6,0,215,BOS,2B,R,R
663886,Tyler,Stephenson,1996-08-16,USA,"GA   ",6,3,225,CIN,C,R,R
663893,Brendon,Little,1996-08-11,USA,"PA   ",6,2,195,TOR,LHR,L,L
663947,Weston,Holton,1996-06-13,USA,"FL   ",6,2,200,DET,LHR,L,L
663993,David,Lowe,1995-07-07,USA,"VA   ",6,4,220,BOS,1B,R,L
664023,Ian,Happ,1994-08-12,USA,"PA   ",5,11,205,CHI,CF,R,S
664034,Tyler,France,1994-07-13,USA,"CA   ",5,11,215,TOR,DH,R,R
664056,Harrison,Bader,1994-06-03,USA,"NY   ",5,11,210,PHI,CF,R,R
664702,Myles,Straw,1994-10-17,USA,"CA   ",5,9,178,TOR,CF,R,R
664761,Alec,Bohm,1996-08-03,USA,"NE   ",6,5,218,PHI,3B,R,R
664770,Nathan,Lukes,1994-07-12,USA,"CA   ",5,11,180,TOR,CF,R,L
665487,Fernando,Tatis,1999-01-02,Dominican Republic,NULL,6,3,217,SD,SS,R,R
665489,Vladimir,Guerrero,1999-03-16,Canada,"QC   ",6,0,245,TOR,1B,R,R
665862,Jasrado,Chisholm,1998-02-01,Bahamas,NULL,5,11,184,NYY,SS,R,L
665926,Andres,Gimenez,1998-09-04,Venezuela,NULL,5,11,161,TOR,SS,R,L
665966,Carlos,Narvaez,1998-11-26,Venezuela,NULL,6,0,190,BOS,C,R,R
666023,Freddy,Fermin,1995-05-16,Venezuela,NULL,5,10,200,SD,C,R,R
666157,Nicholas,Lodolo,1998-02-05,USA,"CA   ",6,6,216,CIN,LHS,L,L
666158,Gavin,Lux,1997-11-23,USA,"WI   ",5,11,190,TB,SS,R,L
666163,Benjamin,Rortvedt,1997-09-25,USA,"WI   ",5,9,210,CIN,C,R,L
666181,William,Benson,1998-06-16,USA,"GA   ",6,4,230,CIN,CF,L,L
666182,Bo,Bichette,1998-03-05,USA,"FL   ",5,11,190,NY,SS,R,R
666200,Jesus,Luzardo,1997-09-30,Peru,NULL,6,0,218,PHI,LHS,L,L
666310,Noah,Naylor,2000-02-21,Canada,"ON   ",6,0,205,CLE,C,R,L
666374,Matthew,Brash,1998-05-12,Canada,"ON   ",6,1,173,SEA,RHS,R,R
666808,Camilo,Doval,1997-07-04,Dominican Republic,NULL,6,2,205,NYY,RHR,R,R
667297,Thomas,Nance,1991-03-19,USA,"CA   ",6,6,235,TOR,RHR,R,R
668227,Randy,Arozarena,1995-02-28,Cuba,NULL,5,10,185,SEA,OF,R,R
668670,Jacob,Rogers,1995-04-18,USA,"TX   ",6,0,201,DET,C,R,R
668715,Spencer,Steer,1997-12-07,USA,"CA   ",5,9,185,CIN,3B,R,R
668881,Christian,Greene,1999-08-06,USA,"CA   ",6,5,242,CIN,RHS,R,R
668909,Gavin,Williams,1999-07-26,USA,"NC   ",6,6,250,CLE,RHS,R,L
668930,Brice,Turang,1999-11-21,USA,"CA   ",5,11,190,MIL,SS,R,L
668933,Douglas,Ashcraft,1998-02-11,USA,"AL   ",6,2,248,CIN,RHS,R,L
668964,Tobias,Myers,1998-08-05,USA,"FL   ",6,1,223,NY,RHS,R,R
669016,Brandon,Marsh,1997-12-18,USA,"GA   ",6,2,215,PHI,LF,R,L
669093,Jeremiah,Estrada,1998-11-01,USA,"CA   ",6,1,185,SD,RHR,R,S
669224,Austin,Wells,1999-07-12,USA,"AZ   ",6,1,220,NYY,C,R,L
669234,Justyn-Henry,Malloy,2000-02-19,USA,"NY   ",6,1,212,TB,LF,R,R
669242,Thomas,Edman,1995-05-09,USA,"MI   ",5,9,193,LAD,SS,R,S
669257,William,Smith,1995-03-28,USA,"KY   ",5,10,195,LAD,C,R,R
669302,Logan,Gilbert,1997-05-05,USA,"FL   ",6,6,215,SEA,RHS,R,R
669369,Bryce,Johnson,1995-10-27,USA,"TX   ",6,0,190,SD,CF,R,S
669373,Tarik,Skubal,1996-11-20,USA,"CA   ",6,3,240,DET,LHS,L,R
669456,Shane,Bieber,1995-05-31,USA,"CA   ",6,3,200,TOR,RHS,R,R
669711,Gregory,Weissert,1995-02-04,USA,"NY   ",6,2,235,BOS,RHR,R,R
669720,Austin,Hays,1995-07-05,USA,"FL   ",5,11,200,CIN,CF,R,R
669724,Brenan,Hanifee,1998-05-29,USA,"VA   ",6,5,215,DET,RHS,R,R
669743,Alex,Call,1994-09-27,USA,"MN   ",5,11,189,LAD,RF,R,R
669923,George,Kirby,1998-02-04,USA,"NY   ",6,4,215,SEA,RHS,R,R
670036,Matthew,Festa,1993-03-11,USA,"NY   ",6,1,195,CLE,RHR,R,R
670042,Lucas,Raley,1994-09-19,USA,"OH   ",6,3,235,SEA,RF,R,L
670156,Miles,Mastrobuoni,1995-10-31,USA,"CA   ",5,10,185,SEA,2B,R,L
670280,David,Bednar,1994-10-10,USA,"PA   ",6,1,250,NYY,RHR,R,L
670770,Terry,Friedl,1995-08-14,USA,"PA   ",5,8,180,CIN,CF,L,L
670970,Adrian,Morejon,1999-02-27,Cuba,NULL,5,11,224,SD,LHR,L,L
671286,Johnathan,Rodriguez,1999-11-04,Puerto Rico,NULL,6,1,224,CLE,RF,R,R
671655,George,Valera,2000-11-13,USA,"NY   ",5,10,195,CLE,RF,L,L
671922,Cade,Smith,1999-05-09,Canada,"BC   ",6,5,230,CLE,RHR,R,R
672356,Gabriel,Arias,2000-02-27,Venezuela,NULL,6,1,217,CLE,SS,R,R
672386,Alejandro,Kirk,1998-11-06,Mexico,NULL,5,8,245,TOR,C,R,R
672456,Keider,Montero,2000-07-06,Venezuela,NULL,6,1,145,DET,RHS,R,R
672761,Wenceel,Perez,1999-10-30,Dominican Republic,NULL,6,0,203,DET,2B,R,S
672841,Carlos,Vargas,1999-10-13,Dominican Republic,NULL,6,4,210,SEA,RHR,R,R
673548,Seiya,Suzuki,1994-08-18,Japan,NULL,6,0,182,CHI,RF,R,R
675512,Troy,Melton,2000-12-03,USA,"CA   ",6,4,210,DET,RHS,R,R
676106,Emerson,Hancock,1999-05-31,USA,"GA   ",6,4,213,SEA,RHS,R,R
676263,Jacob,Dreyer,1999-02-27,USA,"UT   ",6,2,205,LAD,LHR,L,R
676282,Joseph,Cantillo,1999-12-18,USA,"HI   ",6,4,225,CLE,LHS,L,L
676391,Ernie,Clement,1996-03-22,USA,"NY   ",5,11,170,TOR,SS,R,R
676428,Brant,Hurter,1998-09-06,USA,"GA   ",6,6,250,DET,LHS,L,L
676440,Tanner,Bibee,1999-03-05,USA,"CA   ",6,2,205,CLE,RHS,R,R
676477,Garrett,Whitlock,1996-06-11,USA,"GA   ",6,5,222,BOS,RHS,R,R
676609,Jose,Caballero,1996-08-30,Panama,NULL,5,10,190,NYY,3B,R,R
676684,William,Vest,1995-06-06,USA,"TX   ",6,0,180,DET,RHR,R,R
676879,Aaron,Ashby,1998-05-24,USA,"MO   ",6,0,188,MIL,LHS,L,R
676914,Davis,Schneider,1999-01-26,USA,"NJ   ",5,9,190,TOR,IF,R,R
676962,Benjamin,Brown,1999-09-09,USA,"NY   ",6,6,210,CHI,RHS,R,R
676979,Garrett,Crochet,1999-06-21,USA,"MS   ",6,6,245,BOS,LHR,L,L
677161,Zachery,Kelly,1995-03-03,USA,"VA   ",6,3,231,BOS,RHR,R,R
677587,Brayan,Rocchio,2001-01-13,Venezuela,NULL,5,9,170,CLE,SS,R,S
677594,Julio,Rodriguez,2000-12-29,Dominican Republic,NULL,6,3,228,SEA,RF,R,R
677800,Wilyer,Abreu,1999-06-24,Venezuela,NULL,5,10,215,BOS,CF,L,L
677865,Justin,Bruihl,1997-06-26,USA,"CA   ",6,2,215,STL,LHR,L,L
677944,Slade,Cecconi,1999-06-24,USA,"FL   ",6,4,219,CLE,RHS,R,R
678009,Parker,Meadows,1999-11-02,USA,"GA   ",6,5,205,DET,CF,R,L
678394,Brayan,Bello,1999-05-17,Dominican Republic,NULL,6,1,195,BOS,RHS,R,R
678877,Jhonkensy,Noel,2001-07-15,Dominican Republic,NULL,6,3,250,BAL,OF,R,R
678882,Ceddanne,Rafaela,2000-09-18,Curacao,NULL,5,10,165,BOS,CF,R,R
679529,Spencer,Torkelson,1999-08-26,USA,"CA   ",6,1,220,DET,1B,R,R
680574,Matthew,McLain,1999-08-06,USA,"CA   ",5,9,180,CIN,SS,R,R
680718,Addison,Barger,1999-11-12,USA,"WA   ",6,0,210,TOR,SS,R,L
680736,Justin,Wrobleski,2000-07-14,USA,"IL   ",6,1,194,LAD,LHS,L,L
680755,Braydon,Fisher,2000-07-26,USA,"TX   ",6,4,180,TOR,RHR,R,R
680757,Steven,Kwan,1997-09-05,USA,"CA   ",5,8,170,CLE,CF,L,L
680776,Jarren,Duran,1996-09-05,USA,"CA   ",6,1,205,BOS,CF,R,L
681082,Bryson,Stott,1997-10-06,USA,"NV   ",6,1,200,PHI,SS,R,L
681481,Kerry,Carpenter,1997-09-02,USA,"FL   ",6,1,220,DET,LF,R,L
681624,Andy,Pages,2000-12-08,Cuba,NULL,6,1,212,LAD,RF,R,R
681870,Erik,Sabrowski,1997-10-31,Canada,"AB   ",6,4,230,CLE,LHR,L,R
681911,Alexander,Vesia,1996-04-11,USA,"CA   ",6,1,209,LAD,LHR,L,L
681982,Grant,Anderson,1997-06-21,USA,"TX   ",6,0,204,MIL,RHR,R,R
681987,Nathan,Eaton,1996-12-22,USA,"VA   ",5,11,200,BOS,RF,R,R
682120,Tim,Herrin,1996-10-08,USA,"IN   ",6,6,230,CLE,LHR,L,L
682177,Daniel,Schneemann,1997-01-23,USA,"CA   ",5,11,185,CLE,SS,R,L
682243,Bryce,Miller,1998-08-23,USA,"TX   ",6,2,200,SEA,RHS,R,R
682622,Noelvi,Marte,2001-10-16,Dominican Republic,NULL,6,2,216,CIN,SS,R,R
682657,Angel,Martinez,2002-01-27,Dominican Republic,NULL,5,11,200,CLE,SS,R,S
682829,Elly,De La Cruz,2002-01-11,Dominican Republic,NULL,6,5,200,CIN,SS,R,S
682842,Abner,Uribe,2000-06-20,Dominican Republic,NULL,6,3,210,MIL,RHR,R,R
682985,Riley,Greene,2000-09-28,USA,"FL   ",6,2,200,DET,CF,L,L
682990,Charles,Priester,2000-09-16,USA,"IL   ",6,3,210,MIL,RHS,R,R
683011,Anthony,Volpe,2001-04-28,USA,"NY   ",5,10,197,NYY,SS,R,R
683175,Connor,Phillips,2001-05-04,USA,"TX   ",6,2,209,CIN,RHS,R,R
683232,Nicolaus,Mears,1996-10-07,USA,"CA   ",6,3,217,KC,RHR,R,R
683618,Edgardo,Henriquez,2002-06-24,Venezuela,NULL,6,4,200,LA,RHR,R,R
683734,Andrew,Vaughn,1998-04-03,USA,"CA   ",5,10,215,MIL,1B,R,R
683737,Michael,Busch,1997-11-09,USA,"MN   ",6,0,210,CHI,2B,R,L
683769,Hunter,Gaddis,1998-04-09,USA,"GA   ",6,6,260,CLE,RHS,R,R
684007,Shota,Imanaga,1993-09-01,Japan,NULL,5,10,175,CHI,LHS,L,L
684320,Yariel,Rodriguez,1997-03-10,Cuba,NULL,6,0,165,TOR,RHS,R,R
686217,Salvatore,Frelick,2000-04-19,USA,"MA   ",5,8,188,MIL,CF,R,L
686218,George,Sheehan,1999-11-15,USA,"NY   ",6,5,220,LAD,RHS,R,R
686527,Dominic,Canzone,1997-08-16,USA,"OH   ",6,0,190,SEA,RF,R,L
686555,Isaac,Collins,1997-07-22,USA,"MN   ",5,8,188,KC,LF,R,S
686580,Justin,Slaten,1997-09-15,USA,"TX   ",6,4,222,BOS,RHR,R,R
686765,Nicholas,Sogard,1997-09-09,USA,"CA   ",6,1,189,BOS,SS,R,S
686973,Louis,Varland,1997-12-09,USA,"MN   ",6,1,205,TOR,RHS,R,L
687221,Dalton,Rushing,2001-02-21,USA,"TN   ",5,11,220,LA,C,R,L
687401,Joseph,Ortiz,1998-07-14,USA,"CA   ",5,10,183,MIL,SS,R,R
688107,Robert,Gasser,1999-05-31,USA,"CA   ",6,0,192,MIL,LHS,L,L
688158,David,Morgan,1999-10-26,USA,"CA   ",6,0,185,SD,RHR,R,R
689147,Richard,Kerkering,2001-04-04,USA,"CA   ",6,2,204,PHI,RHR,R,R
689254,Mason,Fluharty,2001-08-13,USA,"DE   ",6,2,215,TOR,LHR,L,R
690993,Colten,Keith,2001-08-14,USA,"OH   ",6,2,211,DET,3B,R,L
691176,Jasson,Dominguez,2003-02-07,Dominican Republic,NULL,5,9,218,NYY,CF,R,S
691718,Pete,Crow-Armstrong,2002-03-25,USA,"CA   ",6,0,184,CHI,CF,L,L
692216,Collin,Kayfus,2001-10-28,USA,"FL   ",6,0,192,CLE,1B,L,L
693307,Francis,Dingler,1998-09-17,USA,"OH   ",6,1,210,DET,C,R,R
693433,Bryan,Woo,2000-01-30,USA,"CA   ",6,2,205,SEA,RHS,R,R
693645,Cameron,Schlittler,2001-02-05,USA,"MA   ",6,6,225,NYY,RHS,R,R
694037,Daniel,Palencia,2000-02-05,Venezuela,NULL,5,11,160,CHI,RHS,R,R
694192,Jackson,Chourio,2004-03-11,Venezuela,NULL,6,0,204,MIL,CF,R,R
694208,Moises,Ballesteros,2003-11-08,Venezuela,NULL,5,8,195,CHI,C,R,L
694361,William,Klein,1999-11-28,USA,"IN   ",6,5,230,LAD,RHR,R,R
694388,Mario,Loperfido,1999-05-11,USA,"PA   ",6,2,220,TOR,CF,R,L
694477,Chandler,Patrick,1998-08-14,USA,"IN   ",6,1,217,MIL,RHS,R,R
694819,Jacob,Misiorowski,2002-04-03,USA,"MO   ",6,7,197,MIL,RHS,R,R
695243,Mason,Miller,1998-08-24,USA,"PA   ",6,5,200,SD,RHS,R,R
695505,Chase,Burns,2003-01-16,Italy,NULL,6,3,210,CIN,RHS,R,R
695670,Harrison,Ford,2003-02-21,USA,"GA   ",5,10,200,WSH,C,R,R
700250,Benjamin,Rice,1999-02-22,USA,"MA   ",6,2,228,NYY,C,R,L
700932,Kyle,Manzardo,2000-07-18,USA,"ID   ",6,0,205,CLE,1B,R,L
701398,Sal,Stewart,2003-12-07,USA,"FL   ",6,1,224,CIN,3B,R,R
701538,Jackson,Merrill,2003-04-19,USA,"MD   ",6,3,195,SD,SS,R,L
701542,William,Warren,1999-06-16,USA,"MS   ",6,2,200,NYY,RHS,R,R
702056,Trey,Yesavage,2003-07-28,USA,"PA   ",6,4,225,TOR,RHS,R,R
702332,Caleb,Durbin,2000-02-22,USA,"IL   ",5,7,183,MIL,3B,R,R
800050,Chase,DeLauter,2001-10-08,USA,"MD   ",6,3,235,CLE,RF,L,L
801139,Payton,Tolle,2002-11-01,USA,"OK   ",6,6,250,BOS,LHS,L,L
805249,Otto,Kemp,1999-09-09,USA,"CA   ",5,11,185,PHI,3B,R,R
807713,Matthew,Shaw,2001-11-06,USA,"MA   ",5,10,185,CHI,3B,R,R
807799,Masataka,Yoshida,1993-07-15,Japan,NULL,5,8,192,BOS,OF,R,L
808963,Roki,Sasaki,2001-11-03,Japan,NULL,6,2,187,LAD,RHS,R,R
808967,Yoshinobu,Yamamoto,1998-08-17,Japan,NULL,5,10,176,LAD,RHS,R,R
813349,Todd,Early,2002-04-03,USA,"VA   ",6,3,195,BOS,LHS,L,L
